"n=50alpha=0.1","n=50alpha=0.5","n=50alpha=0.9","n=100alpha=0.1","n=100alpha=0.5","n=100alpha=0.9","n=200alpha=0.1","n=200alpha=0.5","n=200alpha=0.9"
1.30018397733517,1.07097626555455,0.705775120279422,0,1.17873857929165,0.344932018015665,0.327059991536016,6.41094176534351,2.4828020306567
4.01565163243703,0.470517626585311,1.43266359573577,0.717528318540679,1.23647989521556,0.205886417342196,2.97729701746922,1.33485760257152,15.4485458958769
1.42458971332878,0.835162034155956,3.11768922221281,2.03343009840246,2.010113450223,0.640222438020543,0.268565162262087,6.17376493335805,0
0.814452668024598,0.192719251576026,1.52372901958566,0,2.40070899202995,1.05352240138573,2.33183044126264,1.48464017226206,0.475111224719607
0.0455878760907156,4.2887949155199,0.863881985214623,1.11337317010247,0.71031300623002,2.31116411139692,0.0369055066881652,3.03977855879752,0.73460666753897
1.18363071589157,0.948533030975019,0.0185762053299223,4.19722652968888,1.05069643660527,3.23591813648977,0.140021838730096,3.60930919735688,3.71646642174796
0.50129026873303,2.15590918085249,3.17073669040132,1.66036663066455,0.778578473548497,0.155415966959511,1.04984706707462,2.44026675957447,0
0.261473221748386,2.18234043292052,1.14863376313833,1.81635720606245,0.974977454234546,0.860726510396782,0.0097883514840027,0.035800434937918,1.90919959191558
0.806040388323029,1.5368895282603,2.47253642875405,2.93694016459888,0.42617868177393,2.11075076586017,0.543124971251863,1.25619514675846,1.84907439367191
4.85878203742736,0.0147827863838892,3.13350297089597,0.410494839221621,1.20770767432858,5.40016612475979,0.108970519712742,0.842542531118097,0.559756609388858
0.813989734501153,0.0667630505716936,1.21102024376032,2.97530272919692,4.29483927806377,4.58588030385933,2.42643293340261,2.05617699486246,2.07518289042274
13.8115553347859,1.31576197720545,0.0539580261620707,5.05744844084783,2.72378954550853,2.82447244919785,1.02638177226121,3.68467927536946,0.556780027943385
1.07042854366215,6.81756990667003,2.48007024596454,0.984658710491867,0.309004221464098,0.110137087165189,0.707491523158688,3.03404525966997,0.340865844704132
2.33647222619691,1.43337793861749,0.259966484275392,2.21470800745206,2.27881981970164,3.83297047223733,1.42944078820457,2.33421577822542,1.37253048551393
3.36954612398169,3.61438491548798,0.197620791403839,0.178423168826206,2.57887187802006,5.40631303927011,0.668320169013401,0.684971847225237,0.726240873399342
1.72664507833561,0.655844569680633,4.87231834536202,1.34758271710309,0.0983974989240892,0.995035846914789,6.71554946769176,0.557243163001668,0.427441500449073
