"bai","new"
0.059,0.048
0.06,0.04
0.071,0.061
0.102,0.093
0.143,0.161
0.208,0.269
0.338,0.478
0.517,0.706
0.731,0.908
0.886,0.993
0.979,0.999
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
